chr20	3889408	3923792	50	3077
chr20	3889390	3923698	50	3001
chr20	3889417	3923787	50	3063
chr20	3889799	3923699	47	2664
chr19	11798543	11804202	6	366
chr19	55660173	55674713	50	4097
chr19	55655034	55674715	60	4476
chr19	55655016	55674709	60	4488
chr19	55654953	55674709	60	4551
chr19	55655007	55674708	60	4496
chr19	55674336	55674703	3	367
chr19	55654122	55674709	60	5359
chr19	55655017	55674713	60	4491
chr20	5944183	5950532	18	563
chr20	5936925	5950379	47	3597
chr20	5937832	5950379	47	2999
chr20	5938467	5950472	47	2457
chr20	5937831	5944255	34	2660
chr19	47064193	47071802	6	3953
chr19	47064196	47086432	21	5250
chr19	47064197	47082203	12	4760
chr19	47064193	47067418	3	3225
chr19	47064194	47067188	3	2994
chr19	5993166	6110562	131	7332
chr19	44154628	44158996	2	2745
chr19	44326564	44356680	27	3699
chr19	43912632	43935281	31	4762
chr19	44286352	44305000	25	5323
chr19	44165104	44177679	110	6188
chr19	43912631	43935270	31	4755
chr19	44003004	44013542	18	5857
chr19	44072149	44089611	10	4434
chr19	44212619	44237265	47	4671
chr20	31664460	31721876	15	2370
chr20	31664463	31722669	20	3160
chr20	31664461	31722925	20	3418
chr20	44910076	44939311	116	4198
chr20	44910096	44939307	116	4174
chr19	10316219	10333526	81	4859
chr19	10133351	10182078	275	8718
chr19	10173117	10194950	75	1224
chr19	10133347	10151804	133	6009
chr19	10133351	10177324	239	8160
chr19	44212562	44237262	57	4691
chr19	43984169	43998323	41	3229
chr19	43912643	43935259	31	4732
chr19	44165102	44177681	110	6192
chr19	43912626	43935282	31	4766
chr19	44094360	44109827	29	7023
chr19	43912642	43935248	31	4722
chr19	44141557	44158994	20	3894
chr19	44426256	44448481	30	5413
chr19	44094360	44109827	29	7023
chr19	5993528	6110566	131	6974
chr19	5993527	6110532	131	6941
chr19	13961532	14006139	46	4992
chr19	19629481	19643625	82	3692
chr19	19629480	19643639	82	3707
chr20	32192512	32207798	3	5695
chr20	20389551	20394885	3	3702
chr20	53342986	53348547	0	0
chr19	19629480	19643650	82	3718
chr19	19623675	19628183	24	2413
chr19	1009653	1021127	80	3973
chr19	1009654	1021122	80	3967
chr19	1009654	1021133	80	3978
chr19	1009652	1020852	80	3699
chr19	1009652	1021121	80	3968
chr19	32470785	32476526	0	0
chr20	31664461	31722865	20	3358
chr20	31704123	31709418	0	0
chr19	10133347	10166633	203	7845
chr19	10133351	10194911	282	9141
chr19	10133351	10180417	254	8421
chr19	10173117	10194953	75	1227
chr20	31664459	31722864	20	3359
chr19	10133347	10151849	133	6052
chr20	50886938	50890129	4	1211
chr20	50889050	50890129	4	1079
chr20	50889050	50890129	4	1079
chr20	31664461	31723962	24	4130
chr20	31664459	31723526	20	3904
chr20	31664461	31723960	24	4128
chr20	31664461	31723960	24	4128
chr20	31664460	31722553	17	3047
chr20	10035082	10058295	34	5371
chr20	10035081	10056752	34	3829
chr20	45891321	45898811	135	4808
chr19	39137983	39143586	0	0
chr19	2223306	2232575	13	4732
chr20	4780029	4823639	32	5746
chr20	4003666	4007764	0	0
chr20	4003662	4007764	0	0
chr20	4003662	4006640	0	0
chr20	4002989	4036215	4	919
chr20	63708038	63736137	65	3537
chr20	63708038	63739096	123	6225
chr20	63708122	63736139	63	3455
chr20	63736663	63739101	58	2167
chr20	63708038	63736139	65	3539
chr20	63708038	63739101	123	6230
chr20	63708038	63736139	65	3539
chr20	63708038	63736140	65	3540
chr20	63708038	63739101	123	6230
chr20	63736653	63739093	58	2169
chr20	50750958	50753738	1	2780
chr20	50731431	50753573	5	4447
chr20	50731553	50752329	5	3193
chr20	50731540	50753568	5	4442
chr20	63939840	63956405	71	6134
chr20	25452811	25456240	7	945
chr19	10133349	10154996	150	6517
chr19	10133353	10143878	102	4143
chr19	10133354	10146492	106	5160
chr19	10133347	10194950	283	9184
chr19	38942282	38975737	35	3967
chr19	38943583	38975735	29	3496
chr19	38941404	38975741	35	4849
chr19	38943264	38975835	29	3596
chr20	53342957	53348520	0	0
chr19	10133354	10194953	283	9180
chr19	10133344	10155904	155	6634
chr19	10133351	10149897	121	5579
chr19	10133353	10194943	283	9171
chr19	10133351	10149019	111	5329
chr19	4709377	4711770	0	0
chr19	49597418	49626433	26	3992
chr19	49597091	49626436	26	4322
chr19	49599685	49626437	24	2987
chr19	49601804	49626437	22	2420
chr19	44052012	44067419	24	2318
chr20	41359126	41360579	3	1453
chr19	47064193	47066430	3	2237
chr20	4780030	4801027	29	5530
